AB006119.1	AB006119.1.1363	100.000	1363	0.0	2518	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AB006120.1	AB006120.1.1355	100.000	1355	0.0	2503	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AB355609.1	AB355609.1.1399	100.000	1399	0.0	2584	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AB355610.1	DQ232519.1.1477	99.928	1396	0.0	2573	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AB355611.1	JN787181.1.1404	99.853	1357	0.0	2495	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AB355612.1	DQ232519.1.1477	100.000	1396	0.0	2579	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AB355613.1	DQ232519.1.1477	99.713	1396	0.0	2556	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AB355614.1	DQ232519.1.1477	99.857	1396	0.0	2567	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AB355615.1	FM873680.1.1509	99.071	1400	0.0	2512	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;uncultured bacterium
AF104678.1	AF104678.1.1573	100.000	1536	0.0	2819	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AF104679.1	AF104678.1.1573	100.000	1536	0.0	2819	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AF145239.1	AFIM01000033.206.1753	99.343	1523	0.0	2760	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus SK52 = DSM 20563
AF145240.1	AFIM01000033.206.1753	99.398	1495	0.0	2717	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus SK52 = DSM 20563
AF145241.1	AFIM01000033.206.1753	98.463	1496	0.0	2641	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus SK52 = DSM 20563
AF145242.1	FM873680.1.1509	98.805	1506	0.0	2682	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;uncultured bacterium
AF145243.1	JASOLX010000056.3560.5115	98.668	1502	0.0	2663	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Lacticaseibacillus paracasei
AF145244.1	CP034543.1435680.1437239	98.743	1512	0.0	2689	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus periodonticum
AF145245.1	JASOLX010000056.3560.5115	98.219	1516	0.0	2665	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Lacticaseibacillus paracasei
AF145246.1	JASOLX010000056.3560.5115	98.599	1499	0.0	2656	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Lacticaseibacillus paracasei
AY309096.1	DQ232519.1.1477	99.591	1468	0.0	2678	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AY691534.1	AY691534.1.1510	100.000	1510	0.0	2789	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
