AF104679.1	AF104678.1.1573	100.000	1536	0.0	2819	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AF104679.1	AFIM01000033.206.1753	99.609	1536	0.0	2813	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus SK52 = DSM 20563
AF104679.1	JN578465.1.1478	99.662	1478	0.0	2712	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AF104679.1	CP034543.1435680.1437239	98.372	1536	0.0	2708	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus periodonticum
AF104679.1	DQ232519.1.1477	99.391	1477	0.0	2687	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AF104678.1	AF104678.1.1573	100.000	1536	0.0	2819	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AF104678.1	AFIM01000033.206.1753	99.609	1536	0.0	2813	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus SK52 = DSM 20563
AF104678.1	JN578465.1.1478	99.662	1478	0.0	2712	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
AF104678.1	CP034543.1435680.1437239	98.372	1536	0.0	2708	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus periodonticum
AF104678.1	DQ232519.1.1477	99.391	1477	0.0	2687	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
NR_041722.2	AF104678.1.1573	100.000	1536	0.0	2819	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
NR_041722.2	AFIM01000033.206.1753	99.609	1536	0.0	2813	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus SK52 = DSM 20563
NR_041722.2	JN578465.1.1478	99.662	1478	0.0	2712	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus
